,remarks_medical,,adverse_events,,text,Bemærkninger fra læge,,,,,,,,y,,,,,Any remarks from medical staff. Repeated instrument.
,bed_q_1,binge_eating_disorder_questionnaire,bedq,,radio,"1. Haft episoder med tvangsoverspisning? (dvs. at du indenfor et kort tidsrum (fx to timer) spiste væsentligt mere, end hvad der er normalt)?","0, Nej | 1, Ja, mindre end 1 gang om ugen | 2, Ja, 1-3 gange om ugen | 3, Ja, 4-7 gange om ugen | 4, Ja, 8-13 gange om ugen | 5, Ja, 14 eller flere gange om ugen",,,,,,,y,,,,,"Binge eating episode defined as eating a significantly larger amount of food than normal within a short time period, indicative of loss of control."
,remarks_medical,,adverse_events,,text,Bemærkninger fra læge,,,,,,,,y,,,,,Any remarks from medical staff. Repeated instrument.
,bed_q_1,binge_eating_disorder_questionnaire,bedq,,radio,"1. Haft episoder med tvangsoverspisning? (dvs. at du indenfor et kort tidsrum (fx to timer) spiste væsentligt mere, end hvad der er normalt)?","0, Nej | 1, Ja, mindre end 1 gang om ugen | 2, Ja, 1-3 gange om ugen | 3, Ja, 4-7 gange om ugen | 4, Ja, 8-13 gange om ugen | 5, Ja, 14 eller flere gange om ugen",,,,,,,y,,,,,"Binge eating episode defined as eating a significantly larger amount of food than normal within a short time period, indicative of loss of control."
,bed_q_2,binge_eating_disorder_questionnaire,bedq,,radio,"2. Mistet kontrollen over din spisning ved disse episoder? (fx at du ikke kunne stoppe med at spise, eller kontrollere, hvor meget du spiste?)","0, Nej | 1, Ja, mindre end 1 gang om ugen | 2, Ja, 1-3 gange om ugen | 3, Ja, 4-7 gange om ugen | 4, Ja, 8-13 gange om ugen | 5, Ja, 14 eller flere gange om ugen",,,,,,,y,,,,,"Loss of control over eating during binge episodes, including inability to stop or regulate intake."
,bed_q_3,binge_eating_disorder_questionnaire,bedq,,radio,"3. Haft episoder med tvangsoverspisning, hvor du spiste hurtigere end normalt?","0, Nej | 1, Ja, mindre end 1 gang om ugen | 2, Ja, 1-3 gange om ugen | 3, Ja, 4-7 gange om ugen | 4, Ja, 8-13 gange om ugen | 5, Ja, 14 eller flere gange om ugen",,,,,,,y,,,,,Rapid eating during binge episodes compared to usual eating pace.
,bed_q_4,binge_eating_disorder_questionnaire,bedq,,radio,"4. Haft episoder med tvangsoverspisning, hvor du spiste, til du var ubehagelig mæt?","0, Nej | 1, Ja, mindre end 1 gang om ugen | 2, Ja, 1-3 gange om ugen | 3, Ja, 4-7 gange om ugen | 4, Ja, 8-13 gange om ugen | 5, Ja, 14 eller flere gange om ugen",,,,,,,y,,,,,Eating to the point of uncomfortable fullness during binge episodes.
,bed_q_5,binge_eating_disorder_questionnaire,bedq,,radio,"5. Haft episoder med tvangsoverspisning, hvor du spiste store mængder mad, selvom du ikke var sulten?","0, Nej | 1, Ja, mindre end 1 gang om ugen | 2, Ja, 1-3 gange om ugen | 3, Ja, 4-7 gange om ugen | 4, Ja, 8-13 gange om ugen | 5, Ja, 14 eller flere gange om ugen",,,,,,,y,,,,,Eating large amounts of food without feeling physically hungry during binge eating episodes.
,bed_q_6,binge_eating_disorder_questionnaire,bedq,,radio,"6. Haft episoder med tvangsoverspisning, hvor du spiste alene, fordi du var flov over, hvor meget du spiste?","0, Nej | 1, Ja, mindre end 1 gang om ugen | 2, Ja, 1-3 gange om ugen | 3, Ja, 4-7 gange om ugen | 4, Ja, 8-13 gange om ugen | 5, Ja, 14 eller flere gange om ugen",,,,,,,y,,,,,Eating alone during binge eating episodes due to embarrassment about the amount consumed.
,bed_q_7,binge_eating_disorder_questionnaire,bedq,,radio,"7. Haft episoder med tvangsoverspisning, hvor du følte væmmelse, depression eller skyld efter episoderne?","0, Nej | 1, Ja, mindre end 1 gang om ugen | 2, Ja, 1-3 gange om ugen | 3, Ja, 4-7 gange om ugen | 4, Ja, 8-13 gange om ugen | 5, Ja, 14 eller flere gange om ugen",,,,,,,y,,,,,"Negative emotions after binge eating episodes, including feelings of disgust, depression, or guilt."
,bed_q_8,binge_eating_disorder_questionnaire,bedq,,radio,8. Kastet op efter episoder med tvangsoverspisning?,"0, Nej | 1, Ja, mindre end 1 gang om ugen | 2, Ja, 1-3 gange om ugen | 3, Ja, 4-7 gange om ugen | 4, Ja, 8-13 gange om ugen | 5, Ja, 14 eller flere gange om ugen",,,,,,,y,,,,,Vomiting following binge eating episodes.
,bed_q_9,binge_eating_disorder_questionnaire,bedq,,radio,9. Er du meget belastet af dine episoder med tvangsoverspisning?,"0, Nej | 1, Ja",,,,,,,y,,,,,Marked distress associated with binge eating behavior.
