,remarks_medical,,adverse_events,,text,Bemærkninger fra læge,,,,,,,,y,,,,,Any remarks from medical staff. Repeated instrument.
,bed_q_1,binge_eating_disorder_questionnaire,bedq,,radio,"1. Haft episoder med tvangsoverspisning? (dvs. at du indenfor et kort tidsrum (fx to timer) spiste væsentligt mere, end hvad der er normalt)?","0, Nej | 1, Ja, mindre end 1 gang om ugen | 2, Ja, 1-3 gange om ugen | 3, Ja, 4-7 gange om ugen | 4, Ja, 8-13 gange om ugen | 5, Ja, 14 eller flere gange om ugen",,,,,,,y,,,,,"Binge eating episode defined as eating a significantly larger amount of food than normal within a short time period, indicative of loss of control."
,no_exercise_24h_v2,visit_02,besoegsdag_2,,radio,Har deltageren undladt at være fysisk aktiv de sidste 24 timer?,"1, Ja | 2, Nej",Må heller ikke have transporteret sig aktivt til Steno (cykling).,,,,,,y,,,,,Indicates if the participant did any intense activity or excercise the past 24 hours. Visit 2.
,no_medication_before_v2,visit_02,besoegsdag_2,,radio,Har deltageren undladt at tage eventuel medicin før besøget? ,"1, Ja | 2, Nej",,,,,,,y,,,,,Indicates if the participant took medication the morning before the visit. Visit 2.
,not_active_transportation_v2,visit_02,besoegsdag_2,,radio,Har deltageren transporteret sig til Steno ved brug af motoriseret/ikke-aktiv transport?,"1, Ja | 2, Nej",,,,,,,y,,,,,Indicates if the participant used motorized/not-active transportation to SDCC before the visit. Visit 2.
,other_deviations_adminribe_v2,visit_02,besoegsdag_2,,text,Beskriv andre afvigelser:,,,,,,,[other_deviations_v2] = '1',y,,,,,Description of any other deviations. Visit 2.
,other_deviations_v2,visit_02,besoegsdag_2,,radio,Andre afvigelser,"1, Ja | 2, Nej",,,,,,,y,,,,,Other deviations. Visit 2.
relative_name_v2_admin,relative_name_v2,visit_02,besoegsdag_2,,text,Hvem?,,,,,,,[relative_v2] = '1',y,,,,,The name of the relative attending the visit. Visit 2. Added 20-04-26.
relative_v2_admin,relative_v2,visit_02,besoegsdag_2,,radio,Er der pårørende med til besøget?,"1, Ja | 2, Nej",,,,,,,y,,,,,Indicates whether a relative or accompanying person is present at the visit. Visit 2. Added 20-04-2026.
,sens_deviation_adminribe_v2,visit_02,besoegsdag_2,,text,Beskriv afvigelsen relateret til SENS:,,,,,,,[sens_deviation_v2]='1',y,,,,,Description of any deviations regarding the SENS activity tracker. Visit 2.
,sens_deviation_v2,visit_02,besoegsdag_2,"Afvigelser fra forsøgsprotokol:
Har der været afvigelser ift. forsøgsprotokollen i følgende målinger/tests?",radio,SENS,"1, Ja | 2, Nej",,,,,,,y,,,,,States if there has been any deviations in SENS. Yes/No. Visit 2.
,sens_early_removal_v2,visit_02,besoegsdag_2,,radio,Er aktivitetsmåleren blevet fjernet før tid?,"1, Ja | 2, Nej","OBS: Hvis den kortvarigt er blevet fjernet, enten fordi den er sat over på modsatte ben (pga. kløe og irritation) eller hvis den er faldet af af sig selv, så bør dette punkt ikke være relevant at svare ""Ja"" til",,,,,[sens_returned_v2]= '1',y,,,,,Indicates if the SENS device fell off/ was taken off before the decided measuring time was over. Visit 2.
,sens_early_removal_why_v2,visit_02,besoegsdag_2,,text,"Hvis ""Ja"", hvorfor og hvornår?",,,,,,,[sens_early_removal_v2] = '1',y,,,,,Indicates why and when the SENS device was taken off. Visit 2.
,sens_nr_v2,visit_02,besoegsdag_2,,text,"<div class=""rich-text-field-label""><p>Angiv nummer på aktivitetsmåleren:</p></div>",,"Klistermærke på bagsiden af sensoren, eks:  I-54B.61F",,,,,[sens_returned_v2]= '1',y,,,,,SENS number. Visit 2.
,sens_returned_v2,visit_02,besoegsdag_2,Aktivitetsmåler retur (SENS),radio,Er aktivitetsmåler (SENS) kommet retur?,"1, Ja | 2, Nej",,,,,,,y,,,,,SENS returned. Visit 2.
,sens_returning_date_v2,visit_02,besoegsdag_2,,text,"Hvis ""nej"", aftal med deltageren, hvornår vi får aktivitetsmåleren retur.",,"OBS: Sørg for at deltageren overfører data til serverskyen gerne dagligt, da sensoren stopper med at lave nye målinger ved fyldt sensor.",,,,,[sens_returned_v2]= '2',y,,,,,Date for returned SENS. Visit 2.
sens_upload_ldrive_v2_dq,sens_upload_ldrive_v2,visit_02,besoegsdag_2,,radio,"<div class=""rich-text-field-label""><p><span style=""background-color: #f1c40f;"">Er SENS-data indlæst og gemt på L-drevet (CSV-fil)?<br></span></p> <p><span style=""background-color: #f1c40f;"">OBS: ikke afklaret endnu</span></p> <p><span style=""background-color: #f1c40f; font-weight: normal;""><em>Gemmes som onlimit_ID_visit_test (eksempel: onlimit_05_v2_sens)</em></span></p></div>","1, Ja | 2, Nej",L:\AuditData\ON LiMiT\2. Feasibility studie\10. Data\8. Aktivitetsmåling (SENS),,,,,[sens_returned_v2]= '1',y,,,,,SENS data saved on L-drive. Workflow. Visit 2.
sens_upload_v2_file,sens_upload_v2,visit_02,besoegsdag_2,,file,"<div class=""rich-text-field-label""><p><span style=""background-color: #f1c40f;"">Upload SENS-data (CSV-fil)</span></p> <p><span style=""background-color: #f1c40f;"">OBS: ikke afklaret endnu</span></p></div>",,,,,,,[sens_returned_v2]= '1',y,,,,,Upload sens activity file in excel. Visit 2.
,sensor_reuse_v2,visit_02,besoegsdag_2,,radio,"<div class=""rich-text-field-label""><p>Er den slukkede sensor lagt i den rigtige kasse (klar eller død)?<br><br></p> <p><span style=""font-weight: normal;""><em>Tjek batteritiden når aktivitetsmåler slukkes i SENS webappen. </em></span></p> <p><span style=""font-weight: normal;""><em>Se SOP SENS aftagning.</em></span></p></div>","1, Ja | 2, Nej",Tjek batteritid ved data upload,,,,,[sens_returned_v2]= '1',y,,,,,Whether the sensor is put in the right reuse box. Visit 2.
,shake_bar_time_min_v2,visit_02,besoegsdag_2,,text,"Hvis det tog mere end 10 minutter for deltageren at indtage shake + bar: 
Hvor mange minutter var deltageren om at indtage shake + bar?",,,,,,,[mmtt_shake_bar_v2] =2,y,,,,,"The number of minutes it took the participant to consume the test shake and bar, if the total consumption time exceeded 10 minutes. Visit 2."
,smoking_amount_v2,visit_02,besoegsdag_2,,text,"Hvis deltageren IKKE har undgået rygning siden i går aftes, hvor meget og hvornår? ",,,,,,,[smoking_v2] = '2',y,,,,,Indicates how much smoking the participant has done and when since last night. Visit 2.
,smoking_v2,visit_02,besoegsdag_2,,radio,Har deltageren afholdt sig fra rygning siden i går aftes?,"1, Ja | 2, Nej",Dette er vigtigt for at få så korrekte målinger som muligt,,,,,,y,,,,,Indicates if the participant has avoided smpking since the night before. Visit 2.
,sp_note_visit_v2,visit_02,besoegsdag_2,SP,radio,Er der skrevet notat for besøget i SP?,"1, Ja | 2, Nej",,,,,,,y,,,,,"Indicates whether a note for the visit is documented in SP. Visit 2. Not added for ID 01, 02, 03, 04, 05 and 07."
staff_initials_v2_admin,staff_initials_v2,visit_02,besoegsdag_2,,text,Initialer på projektpersonale:,,,,,,y,,y,,,,,Initials of the study staff member responsible for conducting the screening. Visit 2.
,stool_sample_return_v2,visit_02,besoegsdag_2,,text,"Hvis 'Nej', aftal med deltageren, hvornår de afleverer afføringsprøven.",,Aftal tidspunkt og fremgangsmåde.,,,,,[stool_sample_v2] = '2',y,,,,,Date for return of the stool sample. Visit 2.
,stool_sample_v2,visit_02,besoegsdag_2,Afføringsprøve,radio,Har deltageren afleveret en afføringsprøve? ,"1, Ja | 2, Nej",,,,,,,y,,,,,Indicates whether the participant brought a stool sample like instructed. Visit 2.
,sys_bp_left_1_v2,visit_02,besoegsdag_2,,text,Systolisk blodtryk venstre arm 1,,mmHg,number,60,260,,,y,,,,,"Systolic blood pressure in mmHg, left arm, first measurement. 
Participant sitting after approximately 5-10 minutes of rest. Visit 2."
,sys_bp_left_2_v2,visit_02,besoegsdag_2,,text,Systolisk blodtryk venstre arm 2,,mmHg,number,60,260,,,y,,,,,"Systolic blood pressure in mmHg, left arm, second measurement. 
Participant sitting after approximately 5-10 minutes of rest. Visit 2."
,sys_bp_left_3_v2,visit_02,besoegsdag_2,,text,Systolisk blodtryk venstre arm 3,,mmHg,number,60,260,,,y,,,,,"Systolic blood pressure in mmHg, left arm, third measurement. 
Participant sitting after approximately 5-10 minutes of rest. Visit 2."
,sys_bp_left_mean_v2,visit_02,besoegsdag_2,,calc,"Gennemsnit systolisk blodtryk, venstre arm","if(
  [sys_bp_left_3_v2]<>'' and [sys_bp_left_2_v2]<>'',
  ([sys_bp_left_3_v2]+[sys_bp_left_2_v2])/2,
  if(
    [sys_bp_left_3_v2]<>'' and [sys_bp_left_2_v2]='',
    [sys_bp_left_3_v2],
    if(
      [sys_bp_left_3_v2]='' and [sys_bp_left_2_v2]<>'',
      [sys_bp_left_2_v2],
      '')))",mmH,,,,,,y,,,,,Automatically calculated as the mean of two systolic BP measurements on left arm. Visit 2.
,sys_bp_right_1_v2,visit_02,besoegsdag_2,,text,Systolisk blodtryk højre arm 1,,mmHg,number,60,260,,,y,,,,,"Systolic blood pressure in mmHg, right arm, first measurement. 
Participant sitting after approximately 5-10 minutes of rest. Visit 2."
,sys_bp_right_2_v2,visit_02,besoegsdag_2,,text,Systolisk blodtryk højre arm 2,,mmHg,number,60,260,,,y,,,,,"Systolic blood pressure in mmHg, right arm, second measurement. 
Participant sitting after approximately 5-10 minutes of rest. Visit 2."
,sys_bp_right_3_v2,visit_02,besoegsdag_2,,text,Systolisk blodtryk højre arm 3,,mmHg,number,60,260,,,y,,,,,"Systolic blood pressure in mmHg, right arm, third measurement. 
Participant sitting after approximately 5-10 minutes of rest. Visit 2."
,sys_bp_right_mean_v2,visit_02,besoegsdag_2,,calc,"Gennemsnit systolisk blodtryk, højre arm","if(
  [sys_bp_right_3_v2]<>'' and [sys_bp_right_2_v2]<>'',
  ([sys_bp_right_3_v2]+[sys_bp_right_2_v2])/2,
  if(
    [sys_bp_right_3_v2]<>'' and [sys_bp_right_2_v2]='',
    [sys_bp_right_3_v2],
    if(
      [sys_bp_right_3_v2]='' and [sys_bp_right_2_v2]<>'',
      [sys_bp_right_2_v2],
      ''
    )
  ))",mmHg,,,,,,y,,,,,Automatically calculated as the mean of two systolic BP measurements on right arm. Visit 2.
,timer_started_v2,visit_02,besoegsdag_2,Indtagelse af shake + bar,radio,"<div class=""rich-text-field-label""><p>Er uret startet?</p> <p>Påbegyndelse af shake + bar = tid 0</p></div>","1, Ja | 2, Nej",,,,,,,y,,,,,Record whether the timer was started at the time of test drink consumption (defined as time 0). Visit 2.
,transportation_v2,visit_02,besoegsdag_2,,text,"Hvilket form for transport har deltageren gjort brug af, og hvor langt har deltageren transporteret sig? ",,,,,,,[not_active_transportation_v2]='2',y,,,,,Description of the active transportation before the visit. Visit 2.
,vas_deviation_adminribe_v2,visit_02,besoegsdag_2,,text,Beskriv afvigelsen ved VAS under MMTT:,,,,,,,[vas_deviation_v2] = '1',y,,,,,Description of any deviations regarding VAS during MMTT. Visit 2.
,vas_deviation_v2,visit_02,besoegsdag_2,,radio,VAS under MMTT,"1, Ja | 2, Nej",,,,,,,y,,,,,Deviations related to VAS procedure. Visit 2.
vas_minus10_v2_dq,vas_minus10_v2,visit_02,besoegsdag_2,,radio,Har deltageren gennemført VAS 1 (tid -10)? ,"1, Ja | 2, Nej",,,,,,,y,,,,,"Record whether the participant completed VAS 1, performed approximately 10 minutes prior to the intervention. 
Response options: 1=Yes, 2=No. Visit 2."
vas_time120_v2_dq,vas_time120_v2,visit_02,besoegsdag_2,,radio,Har deltageren gennemført VAS 5 (tid 120)? ,"1, Ja | 2, Nej",,,,,,,y,,,,,"Record whether the participant completed VAS 5, performed approximately 120 minutes into the intervention. Visit 2."
vas_time180_v2_dq,vas_time180_v2,visit_02,besoegsdag_2,,radio,Har deltageren gennemført VAS 6 (tid 180 min)? ,"1, Ja | 2, Nej",,,,,,,y,,,,,"Record whether the participant completed VAS 6, performed approximately 180 minutes into the intervention. Visit 2."
vas_time240_v2_dq,vas_time240_v2,visit_02,besoegsdag_2,,radio,Har deltageren gennemført VAS 7 (tid 240)?,"1, Ja | 2, Nej",,,,,,,y,,,,,"Record whether the participant completed VAS 7, performed approximately 240 minutes into the intervention. Visit 2."
vas_time30_v2_dq,vas_time30_v2,visit_02,besoegsdag_2,,radio,Har deltageren gennemført VAS 2 (tid 30)? ,"1, Ja | 2, Nej",,,,,,,y,,,,,"Record whether the participant completed VAS 2, performed approximately 30 minutes into the intervention. Visit 2."
vas_time60_v2_dq,vas_time60_v2,visit_02,besoegsdag_2,,radio,Har deltageren gennemført VAS 3 (tid 60)? ,"1, Ja | 2, Nej",,,,,,,y,,,,,"Record whether the participant completed VAS 3, performed approximately 60 minutes into the intervention. Visit 2."
vas_time90_v2_dq,vas_time90_v2,visit_02,besoegsdag_2,,radio,Har deltageren gennemført VAS 4 (tid 90)? ,"1, Ja | 2, Nej",,,,,,,y,,,,,"Record whether the participant completed VAS 4, performed approximately 90 minutes into the intervention. Visit 2."
,visit_attention_points_v2,visit_02,besoegsdag_2,,notes,Opmærksomhedspunkter for besøget,,,,,,,,,,,,,"Documents any important notes, considerations, or issues relevant for the visit. Visit 2."
,alcohol_intake_v3,visit_03,besoegsdag_3,,text,"Hvis deltageren IKKE har undgået at drikke alkohol de sidste 24 timer, hvor meget er så drukket og hvornår? ",,,,,,,[alcohol_v3] = '2',y,,,,,Indicates how much alcohol the participants has had and when the past 24 hours. Visit 3.
,alcohol_v3,visit_03,besoegsdag_3,,radio,Har deltageren afholdt sig fra at drikke alkohol de sidste 24 timer?,"1, Ja | 2, Nej",Dette er vigtigt for at få så korrekte målinger som muligt,,,,,,y,,,,,Indicates if the participant has avoided alcohol the past 24 hours. Visit 3.
bloodsample_minus15_v3_dq,bloodsample_minus15_v3,visit_03,besoegsdag_3,,radio,Er blodprøve 1 taget (tid -15)?,"1, Ja | 2, Nej",,,,,,,y,,,,,"Record whether the participant completed bloodsample measurement 1, performed approximately 15 minutes prior to the intervention. Visit 3"
bloodsample_minus5_v3_dq,bloodsample_minus5_v3,visit_03,besoegsdag_3,,radio,Er blodprøve 2 taget (tid -5)?,"1, Ja | 2, Nej",,,,,,,y,,,,,Record whether a bloodsample was taken at time -5. Visit 3.
bloodsample_time120_v3_dq,bloodsample_time120_v3,visit_03,besoegsdag_3,Tid 120,radio,Er blodprøve 6 taget (tid 120)?,"1, Ja | 2, Nej",,,,,,,y,,,,,Record whether a bloodsample was taken at time 120. Visit 3.
bloodsample_time180_v3_dq,bloodsample_time180_v3,visit_03,besoegsdag_3,Tid 180,radio,Er blodprøve 7 taget (tid 180)?,"1, Ja | 2, Nej",,,,,,,y,,,,,Record whether a bloodsample was taken at time 180. Visit 3.
bloodsample_time240_v3_dq,bloodsample_time240_v3,visit_03,besoegsdag_3,Tid 240,radio,Er blodprøve 8 taget (tid 240 min)?,"1, Ja | 2, Nej",,,,,,,y,,,,,Record whether a bloodsample was taken approximately 240 minutes into the intervention. Visit 3.
bloodsample_time30_v3_dq,bloodsample_time30_v3,visit_03,besoegsdag_3,Tid 30,radio,Er blodprøve 3 taget (tid 30)?,"1, Ja | 2, Nej",,,,,,,y,,,,,Record whether a bloodsample was taken at time 30. Visit 3.
bloodsample_time60_v3_dq,bloodsample_time60_v3,visit_03,besoegsdag_3,Tid 60,radio,"Er blodprøve 4 taget (tid 60)?
","1, Ja | 2, Nej",,,,,,,y,,,,,Record whether a bloodsample was taken at time 60. Visit 3.
bloodsample_time90_v3_dq,bloodsample_time90_v3,visit_03,besoegsdag_3,Tid 90,radio,Er blodprøve 5 taget (tid 90)?,"1, Ja | 2, Nej",,,,,,,y,,,,,Record whether a bloodsample was taken at time 90. Visit 3.
bp_chosen_arm_v3_admin,bp_chosen_arm_v3,visit_03,besoegsdag_3,Før Finapres,calc,"<div class=""rich-text-field-label""><p>Armmanchetten skal sidde på <br>1: Venstre arm<br>2: Højre arm</p></div>",[besg_2_arm_1][bp_chosen_arm_v2],,,,,,,y,,,,,Arm used for blood pressure measurements. Visit 3.
,caffeine_intake_v3,visit_03,besoegsdag_3,,text,"Hvis deltageren IKKE har undgået at drikke koffeinholdige drikkevarer de sidste 24 timer, hvor meget er så drukket og hvornår? ",,,,,,,[caffeine_v3] = '2',y,,,,,Indicates how much caffeine the participants has had and when the past 24 hours. Visit 3.
,caffeine_v3,visit_03,besoegsdag_3,,radio,Har deltageren afholdt sig fra at koffeinholdige drikkevarer de sidste 24 timer?,"1, Ja | 2, Nej",Dette er vigtigt for at få så korrekte målinger som muligt,,,,,,y,,,,,Indicates if the participant has avoided caffeinated beverages the past 24 hours. Visit 3.
,comments_end_v3,visit_03,besoegsdag_3,,notes,"<div class=""rich-text-field-label""><p>Her noteres generelle kommentarer til besøg 3.</p> <p><span style=""font-weight: normal;"">Det kan eksempelvis være:</span></p> <p><span style=""font-weight: normal;"">- Kommentarer om deltagerens samarbejde og forståelse</span><br><span style=""font-weight: normal;"">- Eventuelle afvigelser i protokollen eller komplikationer</span><br><span style=""font-weight: normal;"">- Information om udførte prøver og tests (fx hvis noget blev udsat eller aflyst)</span><br><span style=""font-weight: normal;"">- Eventuelle anbefalinger eller opfølgninger til næste besøg</span><br><span style=""font-weight: normal;"">- Logning af særlige hændelser eller observationer under besøget</span><br><span style=""font-weight: normal;"">- Kommentarer til dataindsamlingen, fx om data mangler eller kvaliteten</span><br><span style=""font-weight: normal;"">- Noter om deltagerens spørgsmål eller bekymringer</span></p> <p><span style=""font-weight: normal;""><em>Det er vigtigt at udfylde dette felt, da det bidrager til dokumentationen af besøget og hjælper med at samle vigtig information. Kommentarerne understøtter forståelsen af arbejdsgangene og projektets gennemførlighed, herunder identifikation af eventuelle udfordringer.</em></span></p> <p> </p> <p data-start=""0"" data-end=""184""><span style=""background-color: #bfedd2;"">Hvis der er generel information om deltageren, som er relevant for projektdeltagelsen, noteres den under instrumentet <strong data-start=""118"" data-end=""132"">""Stamdata""</strong> i feltet <strong data-start=""142"" data-end=""181"">""Noter ift. deltagelse i projektet""</strong>.</span></p> <p data-start=""186"" data-end=""373"" data-is-last-node="""" data-is-only-node=""""><span style=""background-color: #bfedd2;"">Det kan fx være oplysninger om, hvem personen bor sammen med, særlige forhold i husstanden eller en akut syg pårørende.</span></p></div>",,,,,,,,,LV,,,,Comment at the end of the visit. Visit 3.
,date_v3,visit_03,besoegsdag_3,,text,Dato for besøget,,,date_dmy,01.02.2023,31.12.2028,,,y,,,,,Date of visit. Visit 3. @today
,exercise_24h_v3,visit_03,besoegsdag_3,,text,"Hvis deltageren IKKE har undladt at være fysisk aktiv inden for de sidste 24 timer, hvor meget har deltageren så bevæget sig og hvornår? ",,,,,,,[no_exercise_24h_v3] = '2',y,,,,,Indicates how much intense activity or exercise the participant did and when the past 24 hours. Visit 3.
,fasting_status_v3,visit_03,besoegsdag_3,Standardisering,radio,Er deltageren fastende?,"1, Ja | 2, Nej","Skal være fastende fra kl. 22 dagen forinden (inkl. kaffe, te, kosttilskud og tobak) Må gerne have drukket vand.",,,,,,y,,,,,Indicates if the participant has been fasting since 10 pm the night before. Visit 3.
finapres_arm_cuff_size_v3_admin,finapres_arm_cuff_size_v3,visit_03,besoegsdag_3,,calc,"Hvilken størrelse armmanchet bruges til Finapres-målingen? 

1, Small
2, Medium
3, Large",[besg_2_arm_1][finapres_arm_cuff_size_v2],Ofte bruges størrelse medium. Brug samme størrelse som ved V2.  ,,,,,,y,,,,,"Finapres measurement: Size of arm cuff (S, M or L) at visit 2. Visit 3."
,finapres_deviation_adminribe_v3,visit_03,besoegsdag_3,,text,Beskriv afvigelsen ved Finapres under MMTT:,,,,,,,[finapres_deviation_v3] = '1',y,,,,,Description of any deviations regarding finapres during MMTT. Visit 3.
,finapres_deviation_v3,visit_03,besoegsdag_3,,radio,Finapres under MMTT,"1, Ja | 2, Nej",,,,,,,y,,,,,Deviations related to finappres procedure. Visit 3.
finapres_finger_cuff_size_v3_admin,finapres_finger_cuff_size_v3,visit_03,besoegsdag_3,,calc,"Hvilken størrelse fingermanchet bruges til Finapres-målingen? 

1, Small
2, Medium
3, Large",[besg_2_arm_1][finapres_finger_cuff_size_v2],Ofte bruges størrelse medium. Brug samme størrelse som ved V2.   ,,,,,,y,,,,,"Finapres measurement: Size of finger cuff (S, M or L) at visit 2. Visit 3."
finapres_minus20_v3_dq,finapres_minus20_v3,visit_03,besoegsdag_3,Før MMTT,radio,Har deltageren gennemført Finapres 1 (tid -20)?,"1, Ja | 2, Nej",,,,,,,y,,,,,"Record whether the participant completed Finapress measurement 1, performed approximately 20 minutes prior to the intervention. 
Response options: 1=Yes, 2=No. visit 3"
finapres_time105_v3_dq,finapres_time105_v3,visit_03,besoegsdag_3,Tid 105,radio,Har deltageren gennemført Finapres 5 (tid 105)? ,"1, Ja | 2, Nej",,,,,,,y,,,,,"Record whether the participant completed Finapress measurement 5, performed approximately 105 minutes after the intervention. 
Response options: 1=Yes, 2=No. Visit 3."
finapres_time135_v3_dq,finapres_time135_v3,visit_03,besoegsdag_3,Tid 135,radio,Har deltageren gennemført Finapres 6 (tid 135)? ,"1, Ja | 2, Nej",,,,,,,y,,,,,"Record whether the participant completed Finapress measurement 6, performed approximately 135 minutes after the intervention. 
Response options: 1=Yes, 2=No. visit 3."
finapres_time15_v3_dq,finapres_time15_v3,visit_03,besoegsdag_3,Tid 15,radio,Har deltageren gennemført Finapres 2 (tid 15)? ,"1, Ja | 2, Nej",,,,,,,y,,,,,"Record whether the participant completed Finapress measurement 2, performed approximately 15 minutes after the intervention. 
Response options: 1=Yes, 2=No. visit 3."
finapres_time195_v3_dq,finapres_time195_v3,visit_03,besoegsdag_3,Tid 195,radio,Har deltageren gennemført Finapres 7 (tid 195)? ,"1, Ja | 2, Nej",,,,,,,y,,,,,"Record whether the participant completed Finapress measurement 7, performed approximately 195 minutes after the intervention. 
Response options: 1=Yes, 2=No. Visit 3."
finapres_time255_v3_dq,finapres_time255_v3,visit_03,besoegsdag_3,Tid 255,radio,Har deltageren gennemført Finapres 8 (tid 255)? ,"1, Ja | 2, Nej",,,,,,,y,,,,,"Record whether the participant completed Finapress measurement 8, performed approximately 255 minutes after the intervention. 
Response options: 1=Yes, 2=No. Visit 3."
finapres_time45_v3_dq,finapres_time45_v3,visit_03,besoegsdag_3,Tid 45,radio,Har deltageren gennemført Finapres 3 (tid 45)? ,"1, Ja | 2, Nej",,,,,,,y,,,,,"Record whether the participant completed Finapress measurement 3, performed approximately 45 minutes after the intervention. 
Response options: 1=Yes, 2=No. Visit 3."
finapres_time75_v3_dq,finapres_time75_v3,visit_03,besoegsdag_3,Tid 75,radio,Har deltageren gennemført Finapres 4 (tid 75)? ,"1, Ja | 2, Nej",,,,,,,y,,,,,"Record whether the participant completed Finapress measurement 4, performed approximately 75 minutes after the intervention. 
Response options: 1=Yes, 2=No. Visit 3."
finapres_upload_ldrive_v3_dq,finapres_upload_ldrive_v3,visit_03,besoegsdag_3,Efter Finapres,radio,"<div class=""rich-text-field-label""><p>Er Finapres-data indlæst og gemt i mappen på L-drevet?</p> <p><span style=""background-color: #e67e23;"">OBS: Der skal gemmes OTTE mapper, der hver indeholder 9 excelfiler. </span></p> <p><span style=""font-weight: normal;""><em>Gemmes som onlimit_ID_visit_nummer af undersøgelse_test_test (eksempel: onlimit_5_v4-3_fp) </em></span></p></div>","1, Ja | 2, Nej",L:\AuditData\ON LiMiT\2. Feasibility studie\10. Data\6. Finapres,,,,,,y,,,,,Indicates whetner or not the Finapres data is saved on the L-drive. Visit 3.
,food_intake_nonfast_v3,visit_03,besoegsdag_3,,text,"Hvis deltageren IKKE er fastende, hvad har deltageren så indtaget og hvornår?",,,,,,,[fasting_status_v3] = '2',y,,,,,"Indicates what food and when the participant has eaten it, if the participant has not been fasting from 10 pm the day before the visit. Visit 3."
,food_v3,visit_03,besoegsdag_3,Bolle med ost + frugt,radio,Har deltageren modtaget en bolle med ost og et stykke frugt?,"1, Ja | 2, Nej",,,,,,,y,,,,,Food delivered. Visit 3.
identified_name_cpr_v3_admin,identified_name_cpr_v3,visit_03,besoegsdag_3,,radio,Er deltageren identificeret med navn og cpr?,"1, Ja | 2, Nej",,,,,y,,y,,,,,Indicates whether the participant has been identified by full name and personal identification number (CPR). Visit 3.
,last_meal_time_v3,visit_03,besoegsdag_3,,text,Tidspunkt for sidste måltid,,,datetime_dmy,,,,,y,,,,,Indicates the time of the participant's last meal before the visit. Visit 3.
,medication_before_v3,visit_03,besoegsdag_3,,text,Hvilket medicin har deltageren taget før besøget? ,,,,,,,[no_medication_before_v3]='2',y,,,,,Description of the medication the participant took the morning before the visit. Visit 3.
,mmtt_bar_v3,visit_03,besoegsdag_3,,text,"Hvis deltageren ikke kunne spise hele baren:
Hvor meget spiste de? ",,,,,,,[mmtt_shake_bar_v3] = 4 or [mmtt_shake_bar_v3] = 5,y,,,,,The amount of the bar the participant ate. Text field. Visit 3.
,mmtt_blood_deviation_adminribe_v3,visit_03,besoegsdag_3,,text,Beskriv afvigelsen ved blodprøver under MMTT:,,,,,,,[mmtt_blood_deviation_v3] = '1',y,,,,,Description of any deviations regarding blood samples during MMTT. Visit 3.
,mmtt_blood_deviation_v3,visit_03,besoegsdag_3,Har der været afvigelser i:,radio,Blodprøver under MMTT,"1, Ja | 2, Nej",,,,,,,y,,,,,Deviations related to blood sampling procedure. Visit 3.
,mmtt_shake_bar_v3,visit_03,besoegsdag_3,,radio,"Er shake + bar drukket/spist?
","1, Ja, shake + bar blev drukket/spist inden for 10 minutter. | 2, Ja, men shake + bar blev ikke drukket/spist inden for 10 minutter. | 3, Nej, deltageren kunne ikke drikke hele shaken. | 4, Nej, deltageren kunne ikke spise hele baren. | 5, Nej, deltageren kunne både ikke drikke hele shaken og spise hele baren.",Måltidet indtages over i alt 10 minutter. I de første 5 minutter spises først ½ bar og derefter drikkes ½ shake. I de sidste 5 minutter indtages den resterende ½ bar efterfulgt af den resterende ½ shake. ,,,,,,y,,,,,Record whether the participant completed both shake and bar. Visit 3.
,mmtt_shake_v3,visit_03,besoegsdag_3,,text,"Hvis deltageren ikke kunne drikke hele shaken:
Hvor meget drak de?",,,,,,,[mmtt_shake_bar_v3] = 3 or [mmtt_shake_bar_v3] = 5,y,,,,,The amount of the shake the participant drank. Text field. Visit 3.
,no_exercise_24h_v3,visit_03,besoegsdag_3,,radio,Har deltageren undladt at være fysisk aktiv de sidste 24 timer?,"1, Ja | 2, Nej",Må heller ikke have transporteret sig aktivt til Steno (cykling).,,,,,,y,,,,,Indicates if the participant did any intense activity or excercise the past 24 hours. Visit 3.
,no_medication_before_v3,visit_03,besoegsdag_3,,radio,Har deltageren undladt at tage eventuel medicin før besøget? ,"1, Ja | 2, Nej",,,,,,,y,,,,,Indicates if the participant took medication the morning before the visit. Visit 3.
,not_active_transportation_v3,visit_03,besoegsdag_3,,radio,Har deltageren transporteret sig til Steno ved brug af motoriseret/ikke-aktiv transport?,"1, Ja | 2, Nej",,,,,,,y,,,,,Indicates if the participant used motorized/not-active transportation to SDCC before the visit. Visit 3.
,other_deviations_adminribe_v3,visit_03,besoegsdag_3,,text,Beskriv andre afvigelser:,,,,,,,[other_deviations_v3] = '1',y,,,,,Description of any other deviations. Visit 3.
,other_deviations_v3,visit_03,besoegsdag_3,,radio,Andre afvigelser,"1, Ja | 2, Nej",,,,,,,y,,,,,Other deviations. Visit 3.
relative_name_v3_admin,relative_name_v3,visit_03,besoegsdag_3,,text,Hvem?,,,,,,,[relative_v3] = '1',y,,,,,The name of the relative attending the visit. Visit 3.
relative_v3_admin,relative_v3,visit_03,besoegsdag_3,,radio,Er der pårørende med til besøget?,"1, Ja | 2, Nej",,,,,,,y,,,,,Indicates whether a relative or accompanying person is present at the visit. Visit 3.
